date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:51	29/29	---M--	200	added ('OK')	text/plain	date:Wed,%2013%20Dec%202023%2021:05:33%20GMT	https://comicbookreadingorders.com/robots.txt		(from )
19:25:51	72766/72766	---M-Z	200	added ('OK')	text/html	etag:%224382-1789676777;br%22	https://comicbookreadingorders.com/	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/index.html	(from )
19:25:52	158622/158622	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20May%202024%2021:59:49%20GMT	https://comicbookreadingorders.com/wp-content/uploads/banner.jpg	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-content/uploads/banner.jpg	(from https://comicbookreadingorders.com/)
19:25:52	3028/3028	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Sep%202026%2002:04:55%20GMT	https://comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/lib/patreon-connect/assets/css/app.css?ver=1.9.17	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/lib/patreon-connect/assets/css/app7b47.css	(from https://comicbookreadingorders.com/)
19:25:53	193046/193046	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202026%2000:50:29%20GMT	https://comicbookreadingorders.com/wp-content/themes/pro/framework/dist/css/site/stacks/integrity-light.css?ver=6.9.4	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-content/themes/pro/framework/dist/css/site/stacks/integrity-lightb34e.css	(from https://comicbookreadingorders.com/)
19:25:53	223/223	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20Apr%202024%2018:14:26%20GMT	https://comicbookreadingorders.com/wp-content/themes/pro-child/style.css?ver=6.9.4	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-content/themes/pro-child/styleb34e.css	(from https://comicbookreadingorders.com/)
19:25:53	1098/1098	---MCZ	200	added ('OK')	application/rss+xml	etag:%22cf678bb14c7ab8f28920d3307cdfe4c6%22	https://comicbookreadingorders.com/feed/	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/feed/index.html	(from https://comicbookreadingorders.com/)
19:25:53	759/759	---M-Z	200	added ('OK')	application/rss+xml	etag:%22cf678bb14c7ab8f28920d3307cdfe4c6%22	https://comicbookreadingorders.com/comments/feed/	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/comments/feed/index.html	(from https://comicbookreadingorders.com/)
19:25:53	5975/5975	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Sep%202026%2002:04:55%20GMT	https://comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/lib/patron-button-and-widgets-by-codebard/plugin/templates/default/style.css?ver=7.1	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/lib/patron-button-and-widgets-by-codebard/plugin/templates/default/style4d6f.css	(from https://comicbookreadingorders.com/)
19:25:54	2053/2053	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Sep%202026%2002:04:55%20GMT	https://comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/templates/default/style.css?ver=2.0.4	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/templates/default/style1c12.css	(from https://comicbookreadingorders.com/)
19:25:55	281384/281384	---M--	200	added ('OK')	font/woff2	date:Wed,%2016%20Sep%202026%2000:50:26%20GMT	https://comicbookreadingorders.com/wp-content/themes/pro/cornerstone/assets/fonts/fa-solid-900.woff2?ver=7.3.1	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-content/themes/pro/cornerstone/assets/fonts/fa-solid-900d5a8.woff2	(from https://comicbookreadingorders.com/)
19:25:56	357880/357880	---M--	200	added ('OK')	font/woff2	date:Wed,%2016%20Sep%202026%2000:50:26%20GMT	https://comicbookreadingorders.com/wp-content/themes/pro/cornerstone/assets/fonts/fa-regular-400.woff2?ver=7.3.1	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-content/themes/pro/cornerstone/assets/fonts/fa-regular-400d5a8.woff2	(from https://comicbookreadingorders.com/)
19:25:56	87553/87553	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2028%20Aug%202023%2017:14:23%20GMT	https://comicbookreadingorders.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://comicbookreadingorders.com/)
19:25:56	115460/115460	---M--	200	added ('OK')	font/woff2	date:Wed,%2016%20Sep%202026%2000:50:26%20GMT	https://comicbookreadingorders.com/wp-content/themes/pro/cornerstone/assets/fonts/fa-brands-400.woff2?ver=7.3.1	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-content/themes/pro/cornerstone/assets/fonts/fa-brands-400d5a8.woff2	(from https://comicbookreadingorders.com/)
19:25:56	379852/379852	---M--	200	added ('OK')	font/woff2	date:Wed,%2016%20Sep%202026%2000:50:26%20GMT	https://comicbookreadingorders.com/wp-content/themes/pro/cornerstone/assets/fonts/fa-light-300.woff2?ver=7.3.1	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-content/themes/pro/cornerstone/assets/fonts/fa-light-300d5a8.woff2	(from https://comicbookreadingorders.com/)
19:25:56	13577/13577	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Jun%202023%2005:49:24%20GMT	https://comicbookreadingorders.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://comicbookreadingorders.com/)
19:25:56	25188/25188	---M--	200	added ('OK')	font/woff2	date:Thu,%2017%20Sep%202026%2002:04:55%20GMT	https://comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/lib/patreon-connect/assets/fonts/librefranklin-extrabold-webfont.woff2	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/lib/patreon-connect/assets/fonts/librefranklin-extrabold-webfont.woff2	(from https://comicbookreadingorders.com/)
19:25:57	31996/31996	---M--	200	added ('OK')	font/woff	date:Thu,%2017%20Sep%202026%2002:04:55%20GMT	https://comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/lib/patreon-connect/assets/fonts/librefranklin-extrabold-webfont.woff	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/lib/patreon-connect/assets/fonts/librefranklin-extrabold-webfont.woff	(from https://comicbookreadingorders.com/)
19:25:57	12447/12447	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2027%20Feb%202025%2015:18:34%20GMT	https://comicbookreadingorders.com/wp-content/uploads/cbro.circle.01.svg	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-content/uploads/cbro.circle.01.svg	(from https://comicbookreadingorders.com/)
19:25:57	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Sep%202026%2012:25:57%20GMT	http://comicbookreadingorders.com/wp-content/uploads/main.header.svg	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-content/uploads/main.header.f.delayed	(from https://comicbookreadingorders.com/)
19:25:58	35359/35359	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2013%20Apr%202024%2018:14:28%20GMT	https://comicbookreadingorders.com/wp-content/uploads/main.header.svg	D:/code_dao/reading_orders/tham_khao/comicbookreadingorders/comicbookreadingorders.com/wp-content/uploads/main.header.svg	(from https://comicbookreadingorders.com/)
